State,County,County_State,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Latitude,Longitude,countyFIPS,g
VA,Isle of Wight County,"Isle of Wight County, VA",817607278,122113383,315.68,47.148,36.901418,-76.707569,51093,51093
VA,James City County,"James City County, VA",368724192,95246387,142.365,36.775,37.324837,-76.777888,51095,51095
VA,King and Queen County,"King and Queen County, VA",816268317,28893747,315.163,11.156,37.717772,-76.905581,51097,51097
VA,King George County,"King George County, VA",465234034,21087162,179.628,8.142,38.27718,-77.162636,51099,51099
VA,King William County,"King William County, VA",709469217,31143712,273.928,12.025,37.70826,-77.091054,51101,51101
VA,Lancaster County,"Lancaster County, VA",345238878,254114185,133.297,98.114,37.704843,-76.412663,31109,31109
VA,Lee County,"Lee County, VA",1127622392,4896871,435.377,1.891,36.701721,-83.130112,1081,1081
VA,Loudoun County,"Loudoun County, VA",1335826412,14423208,515.765,5.569,39.0812,-77.638898,51107,51107
VA,Louisa County,"Louisa County, VA",1284976751,37794135,496.132,14.592,37.972704,-77.959795,19115,19115
VA,Lunenburg County,"Lunenburg County, VA",1118097709,1743628,431.7,0.673,36.945555,-78.240528,51111,51111
VA,Madison County,"Madison County, VA",830447699,3207612,320.638,1.238,38.412059,-78.276961,1089,1089
VA,Mathews County,"Mathews County, VA",222506456,430073260,85.91,166.052,37.425348,-76.268808,51115,51115
VA,Mecklenburg County,"Mecklenburg County, VA",1619544361,139655805,625.31,53.921,36.687256,-78.368959,37119,37119
VA,Middlesex County,"Middlesex County, VA",337554148,208310591,130.33,80.429,37.606975,-76.528082,9007,9007
VA,Montgomery County,"Montgomery County, VA",1001921573,6289787,386.844,2.429,37.175534,-80.387791,1101,1101
VA,Nelson County,"Nelson County, VA",1219224530,8983980,470.745,3.469,37.789079,-78.88344,21179,21179
VA,New Kent County,"New Kent County, VA",543990076,35597682,210.036,13.744,37.510158,-76.999326,51127,51127
VA,Northampton County,"Northampton County, VA",548349606,1511350585,211.719,583.536,37.302775,-75.924018,37131,37131
VA,Northumberland County,"Northumberland County, VA",495828046,243886813,191.44,94.165,37.856974,-76.379687,42097,42097
VA,Nottoway County,"Nottoway County, VA",814265583,4297830,314.39,1.659,37.141167,-78.053866,51135,51135
VA,Orange County,"Orange County, VA",883475383,6501368,341.112,2.51,38.250193,-78.009622,6059,6059
VA,Page County,"Page County, VA",802949703,8369920,310.021,3.232,38.623209,-78.491872,19145,19145
VA,Patrick County,"Patrick County, VA",1250846143,7141128,482.954,2.757,36.667138,-80.286413,51141,51141
VA,Pittsylvania County,"Pittsylvania County, VA",2509705662,23903850,969.003,9.229,36.821721,-79.398502,51143,51143
VA,Powhatan County,"Powhatan County, VA",673927665,5437786,260.205,2.1,37.549404,-77.912855,51145,51145
VA,Prince Edward County,"Prince Edward County, VA",906395971,10040115,349.961,3.877,37.224881,-78.432957,51147,51147
VA,Prince George County,"Prince George County, VA",687232237,42745198,265.342,16.504,37.187325,-77.220993,51149,51149
VA,Prince William County,"Prince William County, VA",869574665,30876519,335.745,11.921,38.701119,-77.479579,51153,51153
VA,Pulaski County,"Pulaski County, VA",828377036,24877882,319.838,9.605,37.063385,-80.713444,5119,5119
VA,Rappahannock County,"Rappahannock County, VA",689900924,2142396,266.372,0.827,38.684522,-78.168824,51157,51157
VA,Richmond County,"Richmond County, VA",495925425,64458631,191.478,24.888,37.942894,-76.730561,13245,13245
VA,Roanoke County,"Roanoke County, VA",648906307,1762677,250.544,0.681,37.343588,-79.943996,51161,51161
VA,Rockbridge County,"Rockbridge County, VA",1545038073,8836972,596.543,3.412,37.814517,-79.447754,51163,51163
VA,Rockingham County,"Rockingham County, VA",2200943610,10647709,849.789,4.111,38.507585,-78.885321,33015,33015
VA,Russell County,"Russell County, VA",1226420311,7550968,473.524,2.915,36.93342,-82.095934,1113,1113
VA,Scott County,"Scott County, VA",1387786298,8105326,535.827,3.129,36.712776,-82.613624,5127,5127
VA,Shenandoah County,"Shenandoah County, VA",1315900415,9735885,508.072,3.759,38.856204,-78.573987,51171,51171
VA,Smyth County,"Smyth County, VA",1168992137,3519017,451.35,1.359,36.842318,-81.539786,51173,51173
VA,Southampton County,"Southampton County, VA",1551909771,8090234,599.196,3.124,36.720068,-77.103813,51175,51175
VA,Spotsylvania County,"Spotsylvania County, VA",1039889019,33115177,401.503,12.786,38.182431,-77.657226,51177,51177
